"","GSM333436","GSM333437","GSM333438","GSM333439","GSM333440","GSM333441","GSM333442","GSM333443","GSM333444","GSM333445","GSM333446","GSM333447","GSM333448","GSM333449","GSM333450","GSM333451","GSM333452","GSM333453","GSM333454","GSM333455","GSM333456"
"RNF111",8.5564575,8.068208,8.013203,8.547909,7.4597764,8.317246,7.9782248,8.271865,7.6442785,7.7028084,8.620425,8.02292,8.297163,7.893597,8.006031,8.087039,7.980369,7.8640876,7.7852383,7.674278,7.6759133
"ZNF574",7.78695,7.0052037,7.847306,5.5321655,6.444406,7.1045012,7.0377007,8.053928,6.3018346,7.257689,6.674374,7.2619724,7.203313,7.91623,7.811749,6.3150325,6.657022,7.609745,7.90817,7.199717,6.643418
"STX18",7.8318367,7.2139387,7.4397993,7.636672,7.599081,7.444535,7.2828865,7.352874,7.050413,7.2340455,7.763325,6.952893,7.874704,6.9029417,7.5993237,7.1043334,7.37187,7.060419,6.796698,6.624094,6.8977437
"PRKCH",7.704612,7.3414817,6.3174634,6.6784263,7.498559,6.5074687,7.0668674,6.832498,7.0649467,7.4888897,6.7494335,6.524482,7.1459064,7.229821,7.3795986,6.92751,6.8626366,7.279806,7.3146744,6.6057477,6.9510427
"REXO4",6.8809853,6.637894,6.6049657,7.656568,6.938774,6.294754,6.8190446,7.0004582,6.5564575,6.6617646,7.1313424,6.6909814,7.8275332,6.072185,6.548549,6.6047335,6.599708,6.34095,6.392895,5.706065,5.803331
"NUP107",8.314542,7.8227425,8.173972,8.450414,8.298845,7.9114985,7.8662114,7.9386625,7.5190806,7.468098,8.426748,8.33608,7.6556396,7.9632473,7.9100976,7.971056,8.046711,7.8981676,7.755389,7.69442,7.5758653
"ANKRA2",7.338582,6.616994,7.0961328,6.3902254,7.085229,7.124291,7.051456,6.841693,6.2655263,5.5351496,7.2957764,6.2237377,7.487331,6.6779094,7.127835,6.730464,6.7499385,6.4521446,7.090966,6.4262643,5.948538
"TMEM39B",6.208601,5.4463997,5.294356,6.4175496,5.9828973,5.205729,6.414172,5.8002334,5.5118294,5.7005205,6.20702,6.1705756,6.2420344,5.638634,5.6295595,4.3474674,5.1405983,5.137908,5.131876,5.068204,3.8904312
"PANK4",8.353089,8.019276,7.6776733,8.783506,8.402105,7.794496,7.8936224,8.327649,7.280324,8.297981,8.189594,7.873571,8.164627,7.5667095,7.954439,8.137902,8.0341835,8.024972,8.00848,7.3631353,7.7996645
"MSRB2",10.085963,9.838974,9.758475,10.036117,10.211794,9.843093,10.036981,9.883614,9.363883,9.445931,9.709764,9.208629,10.183182,10.094774,9.92338,10.45095,10.054844,10.09095,9.966843,9.584559,9.8109255
"DCPS",7.309268,6.984552,6.545647,6.9613686,6.9857793,6.201369,6.743871,6.6281757,6.140822,6.9388933,7.5137253,7.421955,7.2414093,6.8240705,6.6241555,6.5953383,6.8973207,6.92593,6.2808304,6.925935,7.048181
"TMEM62",6.42222,5.7175045,6.1698847,6.2415385,6.3218894,5.4227743,6.5679417,7.0258145,6.210761,6.1493406,6.2994437,5.5122375,5.728551,5.638581,6.443194,6.0338473,6.5748477,6.489443,6.909715,5.7771726,6.1134286
"EPS8L1",5.2124457,4.360438,3.2601073,3.3374443,6.9247217,3.0550718,3.6881506,2.9594939,4.309809,3.5974402,4.2455435,4.3074393,2.7647996,5.4002967,5.1242337,4.5007806,3.1317286,5.333103,4.4727564,3.9215624,5.4574637
"HOOK2",8.141027,7.4170375,6.745864,8.753115,7.1418195,7.7513566,7.674498,7.57801,7.2629423,8.503916,7.693039,8.003985,7.0943537,7.4846573,7.097659,7.939276,7.382352,7.750453,7.3332357,7.731879,6.6349773
"SMC6",7.671645,7.482834,7.655906,7.4774013,7.0965104,7.2257404,7.108219,7.027761,6.465281,7.088688,7.672761,7.1098,7.91257,7.1299624,7.209845,6.799407,7.2947645,7.308306,7.0676956,6.8898735,6.725813
"NT5DC3",6.5401864,5.788044,5.362137,7.1961374,7.2460933,5.59186,6.198481,6.756861,6.213803,5.3792415,6.468015,7.0778904,5.966461,5.5413995,6.0609093,5.5677567,5.783425,5.669491,5.982228,5.2326,5.3682714
"SMYD3",6.424651,7.5183215,6.6326528,6.582176,6.3578086,6.104906,7.0864654,6.555284,6.312312,6.3022966,6.882796,5.680926,7.092528,6.5913568,7.100349,6.408962,6.5985575,6.0879946,7.1648927,6.3444695,6.4350333
"C11orf71",7.1158395,6.7480273,7.0663943,6.717282,7.851441,6.0872874,7.4554515,7.3205,6.387723,5.8375816,7.679785,6.210297,7.5581083,6.7001877,7.0447307,7.4947457,7.4962864,6.9151597,7.0977893,6.614849,6.7525353
"KATNBL1",6.7360463,6.3108106,6.283077,6.8195195,6.9554887,6.131036,6.4413896,6.6417046,5.749736,5.9285827,6.8401985,6.585913,6.161113,6.0028915,6.491502,6.4820805,6.2773914,5.963985,6.147795,5.893073,5.9242053
"SCML1",8.486594,7.7535253,7.9773583,8.514337,8.176807,7.9732966,8.264367,8.118205,6.373844,6.7525973,7.7159925,8.364507,7.981265,7.74447,8.177582,8.470943,7.2194166,7.8877945,8.381087,7.5166783,7.3060784
"TXNL4B",7.189857,6.032966,5.8432493,6.261337,5.4916983,6.1663904,6.6421714,6.2922544,5.4072104,5.8755465,6.6922007,6.644474,6.4404883,6.3362765,6.3776393,5.966807,6.0042863,6.008272,6.214287,6.572227,5.224687
"ACP6",6.669583,6.917766,6.774642,6.805844,6.134044,6.3991513,5.942025,6.584187,6.4495106,6.4081616,7.077571,5.808627,6.036579,6.0309844,6.8846326,6.592555,5.7499757,6.114353,6.535369,6.073257,6.1722
"SIRT7",6.313456,5.8803253,6.125947,7.088494,6.756436,6.072994,6.254374,6.445553,6.281946,6.3547897,6.706328,6.486904,6.716334,4.8530283,5.9466023,5.7694387,5.3575764,5.298198,5.5155888,4.778853,4.907681
"GPN2",7.341259,6.556144,5.8590493,6.829586,7.034262,6.4266925,6.750706,7.006423,6.0780864,5.616419,7.241844,6.822271,7.268663,6.165871,6.46603,6.159407,6.2569914,6.3651524,6.20838,5.962607,5.5929947
"UGGT2",6.245297,6.288623,3.9258573,6.5348005,1.8172485,5.9129786,5.929822,6.1428623,5.489911,5.2590356,6.661218,5.417868,5.897433,4.7256956,5.001869,5.4277916,4.194802,5.3176565,6.3720846,5.4095798,4.7970796
"MCUB",5.687149,5.1613216,5.6119666,5.1969314,3.4978323,4.8085713,5.9716506,4.586803,5.1128345,5.6071215,6.275755,5.908862,4.8734193,5.536962,5.509748,4.4928875,6.191665,4.5377083,5.538323,2.540572,4.7580447
"CHFR",6.8691444,6.227233,6.192823,7.180646,5.727384,7.253798,7.154557,6.49681,6.155367,6.974257,7.601077,7.0379972,6.176614,6.162031,6.037136,5.393987,6.5636854,5.9788976,5.7765346,6.1113553,4.927375
"ANO1",4.1569366,4.5066013,4.008078,4.2633934,4.4969673,3.2594392,3.8343985,3.8647883,4.305491,4.196914,4.9923115,4.2062287,4.2619867,4.385385,4.7097716,5.3383064,4.3555474,4.97971,5.128775,1.6000195,4.3512416
"VAV3",4.2543817,4.430844,4.474568,4.1777983,3.499704,3.5852869,3.8137496,4.8194385,4.207433,4.1061335,4.6362314,4.395091,3.7539966,3.570327,4.959356,4.6514034,4.722594,4.1980305,4.9049582,3.465143,4.9544287
"PANK2",7.595964,6.8386216,6.9459567,7.3673954,8.082937,7.1736765,7.188015,7.361613,6.512158,6.8100233,7.458608,7.1293116,7.4705954,6.5508018,6.9617567,6.8559194,6.933017,6.7877216,6.4888897,6.279966,6.6425037
"FHL3",9.784739,9.782918,10.003837,10.082058,9.518675,9.685321,10.445459,9.479368,9.43251,10.107163,10.924918,9.630135,9.3982935,10.459921,10.750661,11.372646,10.569271,10.912756,11.077684,10.338734,10.542596
"INTS6",8.0181675,6.87646,7.4048615,8.207781,8.218316,7.5944867,8.159843,7.627061,6.914301,7.2227445,7.3020196,7.8353715,7.378679,7.256361,6.781906,6.8885922,7.213039,6.400417,6.793206,7.09192,6.221251
"C14orf132",4.722308,5.4989433,4.7668605,8.1314335,6.7206244,6.5178046,6.5263357,5.1846185,4.243686,4.3067317,4.9964037,4.893056,4.1435223,6.445422,2.8810894,1.8844849,4.246476,4.434002,5.0853024,7.047102,3.20606
"KCTD9",7.878218,7.261256,7.6442857,8.663356,8.180949,7.690308,8.061637,7.8398705,7.0384245,7.116044,8.249785,7.1404595,7.9933743,7.626412,7.750883,7.978843,7.646079,7.8591423,7.865962,7.4711223,7.294146
"PNMA8A",3.0169551,0.105185665,3.9886734,5.7360573,1.9027715,5.4650307,5.840166,4.1202536,5.5083184,5.0440598,2.0639763,5.259405,5.7661357,5.9198666,5.7400885,3.9147966,6.10368,1.9130045,4.576172,4.509233,4.2196317
"EGFL7",4.761624,6.7723536,5.2349367,5.9273396,6.648969,5.5510287,6.0406995,6.5760083,5.4444942,6.1203995,6.3930655,5.8647604,6.338084,5.3374043,5.8213944,6.0201373,5.751626,5.852119,6.12241,5.4855275,4.3513675
"SLC35F2",3.2438202,3.9172873,3.6689906,4.008512,5.0142574,4.23774,3.8358047,4.110278,3.2725508,4.232296,4.881504,5.085703,4.3919387,3.2289534,4.5403953,5.1070786,4.9029574,4.5161653,4.849998,5.168013,4.0790305
"CEP192",5.882622,5.2747197,5.7079053,5.693987,6.252713,5.5225534,4.7971096,5.270322,4.8144403,4.690406,5.5546517,4.529829,5.5118,5.4748254,5.9230366,4.7380486,4.874291,4.5258865,5.350282,4.3879585,5.4904494
"RPL26L1",9.336485,8.814999,8.496653,9.530384,9.589885,8.606698,9.453262,8.930377,9.189851,9.068247,9.588737,8.571158,9.782284,8.345761,9.04858,8.681845,9.243414,8.806889,8.628922,8.258008,8.190808
"FCGRT",6.9068074,6.916856,6.7728996,6.8498163,6.728797,6.819448,7.170577,7.020341,6.466755,6.7144938,6.5566034,6.445973,7.2340264,7.061314,7.3661065,6.832642,7.467367,7.092032,7.0464387,7.1846747,7.2581654
"UBE2D4",8.897077,8.645323,8.360383,8.496925,8.724555,8.20107,8.938491,8.907769,7.9854207,8.267881,9.30654,9.020226,8.754707,8.829115,9.17966,9.285094,8.925371,9.371461,9.188365,9.155014,8.849945
"TTC31",6.7008886,6.3984733,6.3966146,6.837623,7.0520043,6.2295446,6.4049773,6.6066556,5.733757,6.1585097,6.4050097,6.546963,6.7344255,5.8381996,6.7420244,6.4157586,6.2297544,6.1737986,5.8498273,5.741976,5.702429
"RPAP3",7.6166773,7.367801,7.3466887,8.701989,8.436987,7.377416,7.934325,7.5782194,7.2374954,7.658155,8.212511,7.3223643,7.727263,7.1721606,7.418256,7.75718,7.3001013,7.344811,7.905185,6.9990587,6.989411
"ACSF2",8.148531,6.8438787,6.7892942,7.658955,4.6008663,7.436046,7.5812926,5.576801,6.113003,7.049738,7.4818783,6.3208046,5.8974466,6.579526,6.721976,6.471714,6.920684,6.932092,6.6033473,6.5429077,6.688644
"DUSP22",8.539537,9.302658,7.9070144,8.295991,8.542843,8.034782,8.673797,8.983495,7.8441114,8.151275,9.13107,9.225445,8.895626,7.6399555,8.172752,7.9848986,8.006611,7.8847976,7.7707105,7.424115,7.196535
"MED23",7.5700326,7.1827164,6.984838,6.3027673,6.99115,7.4908104,6.7624836,6.99699,6.662505,6.6161265,7.3744316,6.7478695,7.0514402,6.678054,7.7428703,7.25367,6.961394,6.923046,7.175391,7.143622,6.5378013
"IGF2BP2",3.9253802,4.3449035,5.187287,5.477663,5.5331035,4.2818933,4.0276327,4.5841866,4.6527243,4.7267222,4.4949183,5.6604013,4.7750144,3.8476224,4.2079825,4.955096,4.2303543,3.2744393,1.9458686,3.625852,3.5707846
"THOC6",6.7827096,5.2014008,5.6720376,7.1508102,6.9774427,6.015732,6.6104207,5.7905583,5.979984,6.5090065,6.4174066,6.1543584,6.7366943,5.57696,5.575908,4.2020035,5.301575,6.0007334,5.84242,5.820117,5.589472
